file_name,label
5355191165396444895_MiniHack-MazeWalk-Mapped-9x9-v0_7027_20,20
7614427640278854982_MiniHack-MazeWalk-Mapped-15x15-v0_1126_2,2
7184483667982193275_MiniHack-MazeWalk-Mapped-9x9-v0_4936_14,14
4424154063184968070_MiniHack-MazeWalk-Mapped-45x19-v0_1029_152,152
5679901188937893750_MiniHack-MazeWalk-Mapped-15x15-v0_6375_19,19
3405325029850225769_MiniHack-MazeWalk-Mapped-9x9-v0_7243_22,22
9218338180745274982_MiniHack-MazeWalk-Mapped-15x15-v0_1652_28,28
7560462235720904204_MiniHack-MazeWalk-Mapped-45x19-v0_7190_56,56
5619388202890933251_MiniHack-MazeWalk-Mapped-45x19-v0_10_16,16
8695607868582071436_MiniHack-MazeWalk-Mapped-45x19-v0_9316_47,47
1683406432318420575_MiniHack-MazeWalk-Mapped-9x9-v0_2589_3,3
6677905688417975708_MiniHack-MazeWalk-Mapped-15x15-v0_3789_20,20
677194824493671682_MiniHack-MazeWalk-Mapped-15x15-v0_9545_28,28
4412683727141926297_MiniHack-MazeWalk-Mapped-15x15-v0_9925_22,22
3137707496730323107_MiniHack-MazeWalk-Mapped-45x19-v0_7757_38,38
7937031030886430462_MiniHack-MazeWalk-Mapped-45x19-v0_6655_74,74
5174754446629009355_MiniHack-MazeWalk-Mapped-15x15-v0_1136_34,34
6341356310325562192_MiniHack-MazeWalk-Mapped-9x9-v0_2261_5,5
8730207015184676902_MiniHack-MazeWalk-Mapped-9x9-v0_7372_2,2
519795548977513530_MiniHack-MazeWalk-Mapped-9x9-v0_3436_12,12
9216722237087577025_MiniHack-MazeWalk-Mapped-15x15-v0_6421_54,54
6988348295111958989_MiniHack-MazeWalk-Mapped-15x15-v0_3474_12,12
7400430609830425987_MiniHack-MazeWalk-Mapped-45x19-v0_490_54,54
8004698798415182152_MiniHack-MazeWalk-Mapped-9x9-v0_7916_2,2
4132036234040400809_MiniHack-MazeWalk-Mapped-45x19-v0_5519_25,25
1800001739553938489_MiniHack-MazeWalk-Mapped-9x9-v0_8035_5,5
1778685852841812163_MiniHack-MazeWalk-Mapped-45x19-v0_821_89,89
4755326024667579925_MiniHack-MazeWalk-Mapped-45x19-v0_879_149,149
9078906903538056223_MiniHack-MazeWalk-Mapped-15x15-v0_5541_36,36
1585549815598609046_MiniHack-MazeWalk-Mapped-9x9-v0_8885_11,11
971770887924811281_MiniHack-MazeWalk-Mapped-15x15-v0_4965_15,15
3687724005470160425_MiniHack-MazeWalk-Mapped-45x19-v0_4268_158,158
7302959830107449354_MiniHack-MazeWalk-Mapped-15x15-v0_5247_15,15
1953068476883202361_MiniHack-MazeWalk-Mapped-9x9-v0_7097_4,4
7794268450289146756_MiniHack-MazeWalk-Mapped-15x15-v0_5561_8,8
6199886866958871472_MiniHack-MazeWalk-Mapped-45x19-v0_3164_87,87
587018074996666190_MiniHack-MazeWalk-Mapped-45x19-v0_7696_56,56
4014224212444412377_MiniHack-MazeWalk-Mapped-45x19-v0_1706_88,88
2467415096446102531_MiniHack-MazeWalk-Mapped-45x19-v0_8825_14,14
2755854999445287686_MiniHack-MazeWalk-Mapped-9x9-v0_954_7,7
6840390256580215056_MiniHack-MazeWalk-Mapped-9x9-v0_8026_3,3
4137589752288003023_MiniHack-MazeWalk-Mapped-45x19-v0_1973_49,49
5824604736204477307_MiniHack-MazeWalk-Mapped-9x9-v0_336_6,6
6949069210101835586_MiniHack-MazeWalk-Mapped-15x15-v0_1928_9,9
4198076113742873321_MiniHack-MazeWalk-Mapped-9x9-v0_8155_13,13
1256879186494819691_MiniHack-MazeWalk-Mapped-45x19-v0_1030_190,190
3905946449922593909_MiniHack-MazeWalk-Mapped-9x9-v0_5081_15,15
7471186361319895567_MiniHack-MazeWalk-Mapped-9x9-v0_1105_12,12
1925315265343469997_MiniHack-MazeWalk-Mapped-15x15-v0_6897_24,24
1862995481572137147_MiniHack-MazeWalk-Mapped-9x9-v0_6703_3,3
2942410694551705491_MiniHack-MazeWalk-Mapped-15x15-v0_2864_72,72
6877632629488473517_MiniHack-MazeWalk-Mapped-9x9-v0_332_13,13
5797579750269440023_MiniHack-MazeWalk-Mapped-45x19-v0_5650_36,36
6832061548326911030_MiniHack-MazeWalk-Mapped-9x9-v0_671_6,6
6779772126284462408_MiniHack-MazeWalk-Mapped-45x19-v0_4105_136,136
2115501831810549235_MiniHack-MazeWalk-Mapped-45x19-v0_391_60,60
585869360828293702_MiniHack-MazeWalk-Mapped-9x9-v0_2357_19,19
562752957776904723_MiniHack-MazeWalk-Mapped-45x19-v0_7894_47,47
5961250932429984727_MiniHack-MazeWalk-Mapped-45x19-v0_3242_106,106
