,Algorithm,Solved,Path,Visited,Time,Maze_Name,Seed,Path_Length,Visited_Length
0,ASTAR-Manhattan-Env1,True,"[(15, 41), (15, 42), (15, 43), (15, 44), (14, 44), (13, 44), (13, 45), (13, 46), (14, 46), (15, 46), (16, 46), (17, 46), (17, 45), (17, 44), (17, 43), (17, 42), (17, 41), (17, 40), (18, 40), (19, 40), (19, 41), (19, 42), (19, 43), (19, 44), (19, 45), (19, 46), (19, 47), (19, 48), (18, 48), (17, 48), (17, 49), (17, 50), (18, 50), (19, 50), (19, 51), (19, 52), (19, 53), (19, 54), (19, 55), (19, 56), (19, 57), (19, 58), (19, 59), (19, 60), (18, 60), (17, 60), (16, 60), (15, 60), (14, 60), (13, 60), (12, 60), (11, 60), (11, 59), (11, 58), (11, 57), (11, 56), (10, 56), (9, 56), (8, 56), (7, 56), (7, 57), (7, 58), (7, 59), (7, 60)]","[(15, 41), (15, 42), (15, 43), (15, 44), (14, 44), (13, 44), (13, 45), (13, 46), (14, 46), (15, 40), (15, 39), (15, 46), (15, 38), (14, 38), (13, 38), (13, 39), (13, 40), (13, 41), (13, 42), (12, 42), (11, 42), (10, 42), (9, 42), (9, 43), (9, 44), (9, 45), (9, 46), (16, 46), (10, 46), (16, 38), (17, 46), (11, 46), (11, 47), (11, 48), (10, 48), (9, 48), (9, 49), (9, 50), (8, 50), (7, 50), (17, 38), (17, 45), (7, 49), (11, 45), (12, 48), (17, 44), (18, 38), (7, 48), (11, 44), (13, 48), (17, 43), (19, 38), (7, 47), (14, 48), (17, 42), (19, 37), (7, 46), (15, 48), (17, 41), (19, 36), (17, 40), (18, 40), (19, 40), (19, 41), (19, 42), (19, 43), (19, 44), (19, 45), (19, 46), (19, 47), (19, 48), (18, 48), (17, 48), (17, 49), (17, 50), (17, 51), (17, 52), (18, 50), (19, 50), (19, 51), (19, 52), (19, 53), (19, 54), (19, 55), (19, 56), (18, 56), (17, 56), (19, 57), (19, 58), (19, 59), (19, 60), (18, 60), (17, 60), (16, 60), (15, 60), (14, 60), (13, 60), (12, 60), (11, 60), (11, 59), (17, 55), (11, 58), (17, 54), (16, 54), (15, 54), (11, 57), (15, 53), (11, 56), (10, 56), (9, 56), (8, 56), (7, 56), (7, 57), (7, 58), (7, 59), (7, 60)]",0.11138200759887695,MiniHack-MazeWalk-Mapped-45x19-v0_0,3518771116442287156,64,116
1,ASTAR-Manhattan-Env2,True,"[(11, 36), (11, 35), (11, 34), (10, 34), (9, 34), (9, 33)]","[(11, 36), (11, 35), (11, 34), (10, 34), (9, 34), (9, 33)]",0.08852887153625488,MiniHack-MazeWalk-Mapped-15x15-v0_0,3518771116442287156,6,6
2,ASTAR-Manhattan-Env3,True,"[(7, 41), (7, 40), (7, 39), (7, 38), (8, 38), (9, 38), (9, 37), (9, 36)]","[(7, 41), (7, 40), (7, 39), (7, 38), (8, 38), (9, 38), (9, 37), (9, 36)]",0.08405518531799316,MiniHack-MazeWalk-Mapped-9x9-v0_0,3518771116442287156,8,8
3,ASTAR-Chebysev-Env1,True,"[(15, 41), (15, 42), (15, 43), (15, 44), (14, 44), (13, 44), (13, 45), (13, 46), (14, 46), (15, 46), (16, 46), (17, 46), (17, 45), (17, 44), (17, 43), (17, 42), (17, 41), (17, 40), (18, 40), (19, 40), (19, 41), (19, 42), (19, 43), (19, 44), (19, 45), (19, 46), (19, 47), (19, 48), (18, 48), (17, 48), (17, 49), (17, 50), (18, 50), (19, 50), (19, 51), (19, 52), (19, 53), (19, 54), (19, 55), (19, 56), (19, 57), (19, 58), (19, 59), (19, 60), (18, 60), (17, 60), (16, 60), (15, 60), (14, 60), (13, 60), (12, 60), (11, 60), (11, 59), (11, 58), (11, 57), (11, 56), (10, 56), (9, 56), (8, 56), (7, 56), (7, 57), (7, 58), (7, 59), (7, 60)]","[(15, 41), (15, 42), (15, 43), (15, 44), (14, 44), (13, 44), (13, 45), (13, 46), (15, 40), (14, 46), (15, 39), (15, 46), (16, 46), (15, 38), (17, 46), (14, 38), (16, 38), (13, 38), (13, 39), (13, 40), (13, 41), (13, 42), (17, 38), (17, 45), (12, 42), (18, 38), (11, 42), (17, 44), (19, 38), (10, 42), (9, 42), (9, 43), (9, 44), (9, 45), (9, 46), (17, 43), (19, 37), (10, 46), (11, 46), (11, 47), (11, 48), (17, 42), (19, 36), (10, 48), (12, 48), (9, 48), (9, 49), (9, 50), (11, 45), (13, 48), (17, 41), (8, 50), (14, 48), (7, 50), (11, 44), (15, 48), (17, 40), (18, 40), (7, 49), (19, 40), (19, 41), (19, 42), (19, 43), (19, 44), (19, 45), (19, 46), (19, 47), (19, 48), (18, 48), (7, 48), (17, 48), (17, 49), (17, 50), (17, 51), (7, 47), (17, 52), (18, 50), (7, 46), (19, 50), (19, 51), (19, 52), (19, 53), (19, 54), (19, 55), (19, 56), (18, 56), (17, 56), (17, 55), (19, 57), (17, 54), (16, 54), (15, 54), (19, 58), (15, 53), (19, 59), (15, 52), (19, 60), (18, 60), (17, 60), (16, 60), (15, 60), (14, 60), (13, 60), (12, 60), (11, 60), (11, 59), (11, 58), (15, 51), (11, 57), (11, 56), (15, 50), (10, 56), (14, 50), (9, 56), (12, 56), (13, 50), (8, 56), (12, 50), (7, 56), (7, 57), (7, 58), (7, 59), (7, 60)]",0.08739304542541504,MiniHack-MazeWalk-Mapped-45x19-v0_0,3518771116442287156,64,123
4,ASTAR-Chebysev-Env2,True,"[(11, 36), (11, 35), (11, 34), (10, 34), (9, 34), (9, 33)]","[(11, 36), (11, 35), (11, 34), (10, 34), (9, 34), (9, 33)]",0.08902573585510254,MiniHack-MazeWalk-Mapped-15x15-v0_0,3518771116442287156,6,6
5,ASTAR-Chebysev-Env3,True,"[(7, 41), (7, 40), (7, 39), (7, 38), (8, 38), (9, 38), (9, 37), (9, 36)]","[(7, 41), (7, 40), (7, 39), (7, 38), (8, 38), (7, 42), (9, 38), (9, 37), (9, 36)]",0.09514904022216797,MiniHack-MazeWalk-Mapped-9x9-v0_0,3518771116442287156,8,9
6,ASTAR-EUCLIDEAN-Env1,True,"[(15, 41), (15, 42), (15, 43), (15, 44), (14, 44), (13, 44), (13, 45), (13, 46), (14, 46), (15, 46), (16, 46), (17, 46), (17, 45), (17, 44), (17, 43), (17, 42), (17, 41), (17, 40), (18, 40), (19, 40), (19, 41), (19, 42), (19, 43), (19, 44), (19, 45), (19, 46), (19, 47), (19, 48), (18, 48), (17, 48), (17, 49), (17, 50), (18, 50), (19, 50), (19, 51), (19, 52), (19, 53), (19, 54), (19, 55), (19, 56), (19, 57), (19, 58), (19, 59), (19, 60), (18, 60), (17, 60), (16, 60), (15, 60), (14, 60), (13, 60), (12, 60), (11, 60), (11, 59), (11, 58), (11, 57), (11, 56), (10, 56), (9, 56), (8, 56), (7, 56), (7, 57), (7, 58), (7, 59), (7, 60)]","[(15, 41), (15, 42), (15, 43), (15, 44), (14, 44), (13, 44), (13, 45), (13, 46), (15, 40), (14, 46), (15, 39), (15, 46), (15, 38), (16, 46), (14, 38), (16, 38), (13, 38), (13, 39), (13, 40), (13, 41), (13, 42), (17, 46), (12, 42), (17, 38), (11, 42), (17, 45), (10, 42), (18, 38), (9, 42), (9, 43), (9, 44), (9, 45), (9, 46), (17, 44), (19, 38), (10, 46), (11, 46), (11, 47), (11, 48), (17, 43), (19, 37), (10, 48), (12, 48), (9, 48), (9, 49), (9, 50), (11, 45), (17, 42), (19, 36), (8, 50), (13, 48), (7, 50), (17, 41), (11, 44), (14, 48), (7, 49), (17, 40), (15, 48), (18, 40), (7, 48), (19, 40), (19, 41), (19, 42), (19, 43), (7, 47), (19, 44), (19, 45), (19, 46), (19, 47), (19, 48), (18, 48), (17, 48), (17, 49), (7, 46), (17, 50), (17, 51), (17, 52), (18, 50), (19, 50), (19, 51), (19, 52), (19, 53), (19, 54), (19, 55), (19, 56), (18, 56), (17, 56), (19, 57), (19, 58), (17, 55), (19, 59), (17, 54), (16, 54), (15, 54), (19, 60), (18, 60), (17, 60), (16, 60), (15, 60), (14, 60), (13, 60), (12, 60), (11, 60), (11, 59), (15, 53), (11, 58), (15, 52), (11, 57), (15, 51), (11, 56), (10, 56), (9, 56), (15, 50), (8, 56), (14, 50), (12, 56), (13, 50), (7, 56), (7, 57), (7, 58), (7, 59), (7, 60)]",0.08614492416381836,MiniHack-MazeWalk-Mapped-45x19-v0_0,3518771116442287156,64,122
7,ASTAR-EUCLIDEAN-Env2,True,"[(11, 36), (11, 35), (11, 34), (10, 34), (9, 34), (9, 33)]","[(11, 36), (11, 35), (11, 34), (10, 34), (9, 34), (9, 33)]",0.08748078346252441,MiniHack-MazeWalk-Mapped-15x15-v0_0,3518771116442287156,6,6
8,ASTAR-EUCLIDEAN-Env3,True,"[(7, 41), (7, 40), (7, 39), (7, 38), (8, 38), (9, 38), (9, 37), (9, 36)]","[(7, 41), (7, 40), (7, 39), (7, 38), (8, 38), (9, 38), (9, 37), (9, 36)]",0.08801102638244629,MiniHack-MazeWalk-Mapped-9x9-v0_0,3518771116442287156,8,8
9,ASTAR-SManhattan-Env1,True,"[(15, 41), (15, 42), (15, 43), (15, 44), (14, 44), (13, 44), (13, 45), (13, 46), (14, 46), (15, 46), (16, 46), (17, 46), (17, 45), (17, 44), (17, 43), (17, 42), (17, 41), (17, 40), (18, 40), (19, 40), (19, 41), (19, 42), (19, 43), (19, 44), (19, 45), (19, 46), (19, 47), (19, 48), (18, 48), (17, 48), (17, 49), (17, 50), (18, 50), (19, 50), (19, 51), (19, 52), (19, 53), (19, 54), (19, 55), (19, 56), (19, 57), (19, 58), (19, 59), (19, 60), (18, 60), (17, 60), (16, 60), (15, 60), (14, 60), (13, 60), (12, 60), (11, 60), (11, 59), (11, 58), (11, 57), (11, 56), (10, 56), (9, 56), (8, 56), (7, 56), (7, 57), (7, 58), (7, 59), (7, 60)]","[(15, 41), (15, 42), (15, 43), (15, 44), (14, 44), (13, 44), (13, 45), (13, 46), (14, 46), (15, 46), (16, 46), (17, 46), (15, 40), (17, 45), (15, 39), (17, 44), (15, 38), (14, 38), (13, 38), (13, 39), (13, 40), (13, 41), (13, 42), (12, 42), (11, 42), (10, 42), (9, 42), (9, 43), (9, 44), (9, 45), (9, 46), (10, 46), (11, 46), (11, 47), (11, 48), (10, 48), (9, 48), (9, 49), (9, 50), (8, 50), (7, 50), (7, 49), (7, 48), (7, 47), (7, 46), (12, 48), (11, 45), (13, 48), (11, 44), (14, 48), (15, 48), (17, 43), (16, 38), (17, 42), (17, 38), (17, 41), (18, 38), (17, 40), (19, 38), (18, 40), (19, 37), (19, 40), (19, 41), (19, 42), (19, 43), (19, 44), (19, 45), (19, 46), (19, 47), (19, 48), (18, 48), (17, 48), (17, 49), (17, 50), (17, 51), (17, 52), (18, 50), (19, 50), (19, 51), (19, 52), (19, 53), (19, 54), (19, 55), (19, 56), (18, 56), (17, 56), (19, 57), (19, 58), (19, 59), (19, 60), (18, 60), (17, 60), (16, 60), (15, 60), (14, 60), (13, 60), (12, 60), (11, 60), (11, 59), (11, 58), (11, 57), (11, 56), (10, 56), (9, 56), (8, 56), (7, 56), (7, 57), (7, 58), (7, 59), (7, 60)]",0.08741998672485352,MiniHack-MazeWalk-Mapped-45x19-v0_0,3518771116442287156,64,110
